landlord_id,title,city,region,address,bedrooms,bathrooms,area,price,total_floors,orientation,decoration,description,status,view_count,created_at
1,GuangzhouBaiyun 温馨好房,Guangzhou,Baiyun,Baiyun,2,1,73,4409,13,east,rough,2室1卫，面积 73 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-18
2,出租 Gongshu 精装房,Hangzhou,Gongshu,Gongshu,2,1,80,5975,30,north,simple,2室1卫，面积 80 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-13
3,Dongcheng 学区房出租,Beijing,Dongcheng,Dongcheng,2,1,100,10443,23,north,simple,2室1卫，面积 100 平米，simple装修，north朝向，拎包入住。,available,0,2022-05-16
4,Longquanyi 拎包入住公寓,Chengdu,Longquanyi,Longquanyi,2,2,102,4966,13,north,rough,2室2卫，面积 102 平米，rough装修，north朝向，拎包入住。,available,0,2022-07-04
5,Jiulongpo 学区房出租,Chongqing,Jiulongpo,Jiulongpo,2,1,117,4499,20,east,rough,2室1卫，面积 117 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-09
6,出租 Changning 精装房,Shanghai,Changning,Changning,2,1,81,9234,28,west,rough,2室1卫，面积 81 平米，rough装修，west朝向，拎包入住。,available,0,2022-04-29
7,出租 Dapeng 精装房,Shenzhen,Dapeng,Dapeng,2,1,61,3635,27,east,rough,2室1卫，面积 61 平米，rough装修，east朝向，拎包入住。,available,0,2022-06-21
8,Jiangxia 学区房出租,Wuhan,Jiangxia,Jiangxia,1,1,50,1625,34,west,rough,1室1卫，面积 50 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-21
9,Chang'an 南北通透户型,Xi'an,Chang'an,Chang'an,2,1,53,2155,16,north,rough,2室1卫，面积 53 平米，rough装修，north朝向，拎包入住。,available,0,2022-06-07
10,Yuhuatai 学区房出租,Nanjing,Yuhuatai,Yuhuatai,2,1,119,10739,15,north,simple,2室1卫，面积 119 平米，simple装修，north朝向，拎包入住。,available,0,2022-06-20
11,精致 Huadu 公寓,Guangzhou,Huadu,Huadu,3,1,173,18939,27,east,simple,3室1卫，面积 173 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-23
12,Qiantang 学区房出租,Hangzhou,Qiantang,Qiantang,1,1,66,6365,8,west,rough,1室1卫，面积 66 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-07
13,出租 Chaoyang 精装房,Beijing,Chaoyang,Chaoyang,1,1,74,17745,26,east,fine,1室1卫，面积 74 平米，fine装修，east朝向，拎包入住。,available,0,2022-05-14
14,出租 Jinniu 精装房,Chengdu,Jinniu,Jinniu,1,1,48,3149,10,east,rough,1室1卫，面积 48 平米，rough装修，east朝向，拎包入住。,available,0,2022-05-09
15,ChongqingYubei 温馨好房,Chongqing,Yubei,Yubei,3,2,149,5064,15,south,rough,3室2卫，面积 149 平米，rough装修，south朝向，拎包入住。,available,0,2022-05-05
16,ShanghaiJing-an 温馨好房,Shanghai,Jing-an,Jing-an,3,2,92,20016,20,west,fine,3室2卫，面积 92 平米，fine装修，west朝向，拎包入住。,available,0,2022-06-01
17,Nanshan 拎包入住公寓,Shenzhen,Nanshan,Nanshan,2,1,58,6809,6,east,simple,2室1卫，面积 58 平米，simple装修，east朝向，拎包入住。,available,0,2022-05-17
18,Hannan 学区房出租,Wuhan,Hannan,Hannan,2,1,76,4598,11,west,rough,2室1卫，面积 76 平米，rough装修，west朝向，拎包入住。,available,0,2022-06-20
19,Xi'an Lintong 地铁房,Xi'an,Lintong,Lintong,2,1,76,4659,28,south,rough,2室1卫，面积 76 平米，rough装修，south朝向，拎包入住。,available,0,2022-06-09
